gd_id,id,name
1,38,CLASSICS
1,47,DRAMA 5
1,52,ENGLISH
1,76,INTRO TO SCIENCE
1,77,LATIN
1,91,MUSIC
1,93,PE
1,95,PHYSICAL GEOGRAPHY
1,107,VISUAL ART 5
1,1,8/7 MATH (GRADE 5)
2,33,BAND 6/7
2,35,BIOLOGY
2,37,CHEMISTRY
2,39,COMPUTER SCIENCE 6
2,42,CREATIVE WRITING 6/7
2,48,DRAMA 6
2,52,ENGLISH
2,77,LATIN
2,93,PE
2,96,PHYSICS
2,109,VISUAL ARTS 6
2,110,WORLD HISTORY & GEOGRAPHY I
3,33,BAND 6/7
3,35,BIOLOGY
3,37,CHEMISTRY
3,40,COMPUTER SCIENCE 7
3,42,CREATIVE WRITING 6/7
3,52,ENGLISH
3,55,FRENCH IA
3,63,HEALTH
3,73,INTRO TO ENGINEERING & TECH
3,78,LATIN II A
3,85,MANDARIN IA
3,93,PE
3,96,PHYSICS
3,100,SPANISH IA
3,104,STAGECRAFT
3,108,VISUAL ART 7
3,111,WORLD HISTORY & GEOGRAPHY II
4,35,BIOLOGY
4,37,CHEMISTRY
4,52,ENGLISH
4,56,FRENCH IB
4,63,HEALTH
4,79,LATIN II B
4,84,LOGIC
4,86,MANDARIN IB
4,96,PHYSICS
4,101,SPANISH IB
4,106,US HISTORY I
5,2,ADVANCED JAVA & MACHINE LEARNING
5,23,AP RESEARCH
5,34,BIO OF CANCER
5,41,CORPORATE FINANCE
5,43,CRIME AND PUNISHMENT
5,44,DIFFERENTIAL EQUATIONS
5,49,ECONOMETRIC
5,53,EXISTENTIALISM AND THE ABSURD
5,60,GAME THEORY AND BEHAVIORAL ECON
5,70,INDUSTRIAL CHEMISTRY
5,71,INORGANIC CHEMISTRY
5,83,LINEAR ALGEBRA
5,90,MULTIVARIABLE CALCULUS
5,92,NEUROSCIENCE
5,98,RHETORIC & COMMS
5,99,RISE UP FOR SOCIAL JUSTICE
5,105,TOPICS IN MODERN PHYSICS
6,6,AP / COLLEGE LEVEL ENVIRON SCI
6,11,AP COMP SCI A
6,12,AP COMP SCI PRINC
6,13,AP ECON
6,22,AP PSYCH
6,24,AP SEMINAR
6,27,AP STUDIO ART 2D DESIGN
6,31,ART STUDIO 2D
6,32,AUDIO & MUSIC PRODUC
6,36,BIOTECHNOLOGY
6,45,DIGITAL ART
6,46,DIGITAL PHOTOGRAPHY
6,50,EMPOWERING ENTREPRENEURS
6,51,ENGINEERING AND TECH
6,54,FILM STUDIES
6,62,GUITAR
6,72,INTRO TO BUSINESS
6,74,INTRO TO PHILOSOPHY
6,75,INTRO TO PROGRAMMING
6,94,PHOTOJOURNALISM
7,16,AP LANG
7,17,AP LIT
7,66,HONORS ENGLISH 10
7,67,HONORS LANG
7,68,HONORS LIT
8,15,AP FRENCH
8,18,AP MANDARIN
8,25,AP SPANISH/SPAN. IV
8,57,FRENCH II
8,58,FRENCH III/ PRE AP
8,59,FRENCH IV
8,80,LATIN III
8,81,LATIN IV
8,82,LATIN V /AP LATIN
8,87,MANDARIN II
8,88,MANDARIN III
8,89,MANDARIN IV
8,102,SPANISH II
8,103,SPANISH III
9,14,AP EURO HISTORY
9,28,AP US GOVT & POLITICS
9,29,AP US HISTORY
9,30,AP WORLD HISTORY MODERN
10,3,ALGEBRA 1
10,4,ALGEBRA 1/2
10,5,ALGEBRA 2
10,8,AP CALCULUS AB
10,9,AP CALCULUS BC
10,26,AP STATISTICS
10,44,DIFFERENTIAL EQUATIONS
10,49,ECONOMETRIC
10,61,GAME THEORY BEHAVIORAL ECON
10,83,LINEAR ALGEBRA
10,90,MULTIVARIABLE CALCULUS
10,97,PRE-CALCULUS
10,1,8/7 MATH (GRADE 5)
11,7,AP BIOLOGY
11,10,AP CHEMISTRY
11,21,AP PHYSICS C
11,19,AP PHYSICS 1
11,20,AP PHYSICS 2
11,64,HONORS BIOLOGY
11,65,HONORS CHEMISTRY
11,69,HONORS PHYSICS
