id,Requirement,Author,SchoolISBN13,ISBN13,SchoolISBN10,ISBN10,EditionCopyright,Publisher,Price,Title,Image
9781565775091,Required,"Hake, Stephen",978-1-56577-509-1,9781565775091,1-56577-509-0,1565775090,3RD 04,"Saxon Publishers, Inc.",117,Saxon Math 8/7: With Prealgebra (Hardback) 3RD 04,https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1565775090.gif
9780030994135,Required,Holt Rinehart,978-0-03-099413-5,9780030994135,0-03-099413-6,0030994136,2009,"Holt, Rinehart & Winston",30,Elements of Language: Introductory Course - Grammar Usage and Mechanics Language Skills 2009,https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0030994136.gif
9780030941924,Required,Holt Rinehart,978-0-03-094192-4,9780030941924,0-03-094192-X,003094192X,2009,"Holt, Rinehart & Winston",87.25,"Elements of Language, Introductory Course 2009",https://bookinfo.mbsdirect.net/TextbookInfo/Covers/003094192X.gif
9780821580066,Required,"Shostak, Jerome",978-0-8215-8006-6,9780821580066,0-8215-8006-X,082158006X,2013,Sadlier-Oxford,14.75,"Vocabulary Workshop, Level A 2013",https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M001351718.gif
9780877796381,Recommended,Merriam-Webster,978-0-87779-638-1,9780877796381,0-87779-638-6,0877796386,2006,"Merriam-Webster, Inc.",8.21,Merriam-Webster's Student Atlas 2006,https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0877796386.gif
9780030499685,Required,Holt Rinehart,978-0-03049-968-5,9780030499685,0-03-049968-2,0030499682,2007,"Holt, Rinehart & Winston",25,Holt Science and Technology: Human Body Systems and Health (Hardback) 2007,https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0030499682.gif
9780977810598,Required,"Bishop, Mark",978-0-97781-059-8,9780977810598,0-9778105-9-3,0977810593,2009,Chiral Publishing Company,80,Introduction to Chemistry: Atoms First Version 2009,https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M000976577.gif
9780030941948,Required,Holt Rinehart,978-0-03094-194-8,9780030941948,0-03-094194-6,0030941946,2009,"Holt, Rinehart & Winston",65.5,"Elements of Language, Second Course 2009",https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0030941946.gif
9780821580073,Required,"Shostak, Jerome",978-0-82158-007-3,9780821580073,0-8215-8007-8,0821580078,2013,Sadlier-Oxford,14.75,"Vocabulary Workshop, Level B: Enriched Edition 2013",https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M001294912.gif
9781107690639,Required,Cambridge,978-1-10769-063-9,9781107690639,1-107-69063-3,1107690633,5TH 15,Cambridge University Press,37.25,Cambridge Latin Course: Unit 1 - North American Edition 5TH 15,https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1107690633.gif
9780078933141,Required,"Spielvogel, Jackson J.",978-0-07893-314-1,9780078933141,0-07-893314-5,0078933145,2013,Glencoe Publishing Co.,94.25,World History and Geography 2013,https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M001364611.gif
